transcript_id	gene_symbol	gene_family	n_conditions	n_MANE_higher	n_CDS_higher	n_equal	n_CDS_zero	frac_MANE_higher	frac_CDS_higher	frac_CDS_zero	median_ratio_mane_over_cds	median_tpm_mane	median_tpm_cds	classification
ENST00000232461.8	GNAT1		22	0	0	0	22	0.0	0.0	1.0	NA	50.6313	0.0	no_CDS_signal
ENST00000232854.9	HEMK1		22	0	0	0	22	0.0	0.0	1.0	NA	49.6125	0.0	no_CDS_signal
ENST00000233047.9	LDAF1		22	0	0	0	22	0.0	0.0	1.0	NA	51.4728	0.0	no_CDS_signal
ENST00000233072.10	CPS1		22	0	0	0	22	0.0	0.0	1.0	NA	50.3362	0.0	no_CDS_signal
ENST00000233146.7	MSH2		22	0	0	0	22	0.0	0.0	1.0	NA	51.5849	0.0	no_CDS_signal
ENST00000233154.9	NCK2		22	0	0	0	22	0.0	0.0	1.0	NA	50.6587	0.0	no_CDS_signal
ENST00000233156.9	TFPI		22	0	0	0	22	0.0	0.0	1.0	NA	50.4392	0.0	no_CDS_signal
ENST00000233957.7	IL18R1		22	0	0	0	22	0.0	0.0	1.0	NA	51.5685	0.0	no_CDS_signal
ENST00000234071.8	PROC		22	0	0	0	22	0.0	0.0	1.0	NA	51.5773	0.0	no_CDS_signal
ENST00000234179.8	PRKD3		22	0	0	0	22	0.0	0.0	1.0	NA	50.0971	0.0	no_CDS_signal
ENST00000234296.7	ORC2	olfactory_receptor	22	0	0	0	22	0.0	0.0	1.0	NA	50.4472	0.0	no_CDS_signal
ENST00000234420.11	MSH6		22	0	0	0	22	0.0	0.0	1.0	NA	51.5771	0.0	no_CDS_signal
ENST00000234626.11	CDC7		22	0	0	0	22	0.0	0.0	1.0	NA	51.5637	0.0	no_CDS_signal
ENST00000234816.7	ANGPTL1		22	0	0	0	22	0.0	0.0	1.0	NA	50.5089	0.0	no_CDS_signal
ENST00000235329.10	MFN2		22	0	0	0	22	0.0	0.0	1.0	NA	50.423	0.0	no_CDS_signal
ENST00000236051.3	EBNA1BP2		22	0	0	0	22	0.0	0.0	1.0	NA	51.4533	0.0	no_CDS_signal
ENST00000236342.12	DHDDS		22	0	0	0	22	0.0	0.0	1.0	NA	50.7852	0.0	no_CDS_signal
ENST00000236709.4	A4GNT		22	0	0	0	22	0.0	0.0	1.0	NA	51.4583	0.0	no_CDS_signal
ENST00000236850.5	APOA1		22	0	0	0	22	0.0	0.0	1.0	NA	51.4688	0.0	no_CDS_signal
ENST00000237172.12	FILIP1		22	0	0	0	22	0.0	0.0	1.0	NA	51.5879	0.0	no_CDS_signal
ENST00000237264.9	TBPL1		22	0	0	0	22	0.0	0.0	1.0	NA	51.4694	0.0	no_CDS_signal
ENST00000237281.5	FBXO30		22	0	0	0	22	0.0	0.0	1.0	NA	49.7895	0.0	no_CDS_signal
ENST00000237612.8	ABCG2		22	0	0	0	22	0.0	0.0	1.0	NA	51.5494	0.0	no_CDS_signal
ENST00000237654.9	CCNI		22	0	0	0	22	0.0	0.0	1.0	NA	51.5837	0.0	no_CDS_signal
ENST00000237889.9	NDUFB3		22	0	0	0	22	0.0	0.0	1.0	NA	51.4019	0.0	no_CDS_signal
ENST00000238682.8	TGFB3		22	0	0	0	22	0.0	0.0	1.0	NA	50.5622	0.0	no_CDS_signal
ENST00000238936.8	SLC68A1		22	0	0	0	22	0.0	0.0	1.0	NA	50.8583	0.0	no_CDS_signal
ENST00000239666.9	PDZD11		22	0	0	0	22	0.0	0.0	1.0	NA	51.4439	0.0	no_CDS_signal
ENST00000239882.7	ELF1		22	0	0	0	22	0.0	0.0	1.0	NA	50.6435	0.0	no_CDS_signal
ENST00000239906.10	FAM53C		22	0	0	0	22	0.0	0.0	1.0	NA	50.321	0.0	no_CDS_signal
ENST00000240050.9	MTERF2		22	0	0	0	22	0.0	0.0	1.0	NA	51.4583	0.0	no_CDS_signal
ENST00000240055.8	NFYB		22	0	0	0	22	0.0	0.0	1.0	NA	50.585	0.0	no_CDS_signal
ENST00000240093.8	FZD3		22	0	0	0	22	0.0	0.0	1.0	NA	49.6598	0.0	no_CDS_signal
ENST00000240652.8	IAPP		22	0	0	0	22	0.0	0.0	1.0	NA	51.386	0.0	no_CDS_signal
ENST00000241069.11	ACHE		22	0	0	0	22	0.0	0.0	1.0	NA	51.5807	0.0	no_CDS_signal
ENST00000241436.9	POLK		22	0	0	0	22	0.0	0.0	1.0	NA	49.5814	0.0	no_CDS_signal
ENST00000241600.10	MRPS2		22	0	0	0	22	0.0	0.0	1.0	NA	51.4665	0.0	no_CDS_signal
ENST00000242067.11	BBS9		22	0	0	0	22	0.0	0.0	1.0	NA	51.587	0.0	no_CDS_signal
ENST00000242208.5	INHBA		22	0	0	0	22	0.0	0.0	1.0	NA	50.0032	0.0	no_CDS_signal
ENST00000242462.5	NEUROG3		22	0	0	0	22	0.0	0.0	1.0	NA	51.4561	0.0	no_CDS_signal
ENST00000242465.4	SRGN		22	0	0	0	22	0.0	0.0	1.0	NA	51.4618	0.0	no_CDS_signal
ENST00000242480.4	EGR2		22	0	0	0	22	0.0	0.0	1.0	NA	50.6641	0.0	no_CDS_signal
ENST00000242591.10	IFT81		22	0	0	0	22	0.0	0.0	1.0	NA	50.871	0.0	no_CDS_signal
ENST00000242607.13	HVCN1		22	0	0	0	22	0.0	0.0	1.0	NA	51.4882	0.0	no_CDS_signal
ENST00000242810.11	KLHL24		22	0	0	0	22	0.0	0.0	1.0	NA	49.9208	0.0	no_CDS_signal
ENST00000242819.7	CCDC70		22	0	0	0	22	0.0	0.0	1.0	NA	51.4606	0.0	no_CDS_signal
